modelo,record,latidos,errores,n_N,n_S,n_V,n_F,Se_S,+P_S,Se_V,+P_V,Se_F,+P_F
cnn,4,2422,227,2268,16,121,17,0.25,0.0412,0.1157,0.1359,0.0,0.0
cnn,5,1774,1484,1518,0,247,9,,0.0,0.4008,0.0716,0.0,0.0
cnn,6,2491,88,2434,48,9,0,0.875,0.3784,1.0,0.5,,0.0
cnn,7,2704,43,2638,65,1,0,0.8615,0.6747,1.0,0.2,,0.0
cnn,8,2128,289,1776,2,350,0,1.0,0.0084,0.74,0.8721,,0.0
cnn,9,2987,95,2946,0,41,0,,0.0,0.7561,0.7209,,0.0
cnn,10,3680,729,3597,0,83,0,,0.0,0.8434,0.3867,,0.0
cnn,11,2080,57,2076,0,4,0,,0.0,0.75,0.6,,
cnn,12,2807,643,2798,1,6,2,0.0,0.0,1.0,0.8571,0.0,0.0
cnn,13,2021,318,1791,0,230,0,,,1.0,0.8915,,0.0
cnn,14,1864,250,1800,0,64,0,,0.0,1.0,0.5664,,0.0
cnn,15,2633,329,2630,0,3,0,,0.0,0.3333,0.3333,,0.0
cnn,16,1520,464,1518,0,2,0,,0.0,0.5,0.0022,,
cnn,17,1671,31,1644,0,27,0,,0.0,0.8148,0.9565,,
cnn,18,3082,486,2660,0,366,56,,0.0,0.9672,0.9124,0.875,0.2832
cnn,19,2060,879,1211,0,849,0,,0.0,0.1402,0.8322,,0.0
cnn,20,2650,193,2360,179,110,1,0.3575,0.5378,0.5455,0.5455,1.0,0.0294
cnn,21,2182,139,2070,104,8,0,0.2308,0.75,0.875,0.0745,,0.0
cnn,22,3124,370,2814,124,185,1,0.0726,0.1184,0.5135,0.8636,0.0,0.0
cnn,23,2203,0,2190,0,13,0,,,1.0,1.0,,
cnn,24,2569,22,2563,0,6,0,,0.0,0.5,0.1579,,0.0
cnn,25,1710,129,1703,2,5,0,1.0,0.0208,0.0,0.0,,0.0
cnn,26,1507,60,1496,7,4,0,1.0,0.1077,0.5,0.6667,,0.0
cnn,27,2603,727,1884,0,719,0,,,1.0,0.9849,,0.0
cnn,28,1715,12,1711,0,4,0,,0.0,1.0,0.4,,0.0
cnn,29,2618,638,1835,0,783,0,,0.0,0.5888,0.985,,0.0
cnn,30,2460,494,1705,0,755,0,,0.0,0.6146,0.9978,,0.0
cnn,31,3207,899,1843,0,1364,0,,0.0,0.6862,0.9512,,0.0
cnn,32,1617,29,1560,0,57,0,,0.0,0.9825,1.0,,
cnn,33,1835,702,1245,589,1,0,0.657,0.9974,1.0,0.0055,,0.0
cnn,34,1963,171,1427,536,0,0,0.8358,0.9956,,0.0,,0.0
cnn,35,3674,877,3199,0,457,18,,0.0,0.8315,0.9974,0.8333,0.0171
cnn,36,3909,1158,3447,0,450,12,,0.0,0.8156,0.9386,0.8333,0.0088
cnn,37,2459,391,2007,0,452,0,,,0.9956,0.9956,,0.0
cnn,38,2696,111,2153,0,543,0,,0.0,0.8545,0.9978,,0.0
cnn,39,1773,21,1460,0,313,0,,0.0,0.9553,0.9967,,0.0
cnn,40,2664,249,2566,6,92,0,0.5,0.1364,0.9891,0.3655,,0.0
cnn,41,1628,10,1622,5,1,0,0.2,0.3333,1.0,0.3333,,0.0
cnn,42,3107,1330,1544,0,1554,9,,0.0,0.9241,0.9945,0.6667,0.0046
cnn,43,2207,1003,1085,0,1120,2,,0.0,0.9973,0.9938,1.0,0.002
cnn,44,2493,97,1802,8,683,0,0.0,,0.9985,1.0,,0.0
cnn,45,1926,9,1435,0,491,0,,,0.9939,0.998,,0.0
cnn,46,2656,153,2230,1,422,3,0.0,0.0,0.981,0.9787,1.0,0.0211
cnn,47,1951,157,1857,1,93,0,0.0,0.0,0.9785,0.7165,,0.0
cnn,48,2355,132,2117,2,235,1,1.0,0.015,1.0,1.0,0.0,
cnn,49,2145,274,2118,0,27,0,,0.0,1.0,0.5625,,0.0
cnn,50,2996,223,2992,0,4,0,,0.0,0.5,0.5,,0.0
cnn,51,2775,922,1969,3,802,1,0.3333,0.5,1.0,0.9988,0.0,0.0
cnn,52,1745,1606,1608,0,137,0,,,1.0,1.0,,0.0
cnn,53,2260,1112,1150,0,1110,0,,0.0,0.9991,0.9991,,0.0
cnn,54,2361,672,2338,1,22,0,1.0,0.0016,0.6364,0.2414,,0.0
cnn,55,2164,186,2146,1,17,0,1.0,0.0217,0.8824,0.0974,,0.0
cnn,56,1703,824,1670,26,7,0,1.0,0.0315,1.0,0.2333,,0.0
cnn,57,2867,141,2840,3,21,3,0.3333,0.0087,1.0,0.6,0.0,0.0
cnn,58,2323,15,2311,0,12,0,,0.0,1.0,0.6667,,0.0
cnn,59,2146,100,2065,0,81,0,,0.0,0.4938,0.7843,,0.0
cnn,60,2473,90,2473,0,0,0,,0.0,,0.0,,0.0
cnn,61,1452,0,1451,1,0,0,1.0,1.0,,,,
cnn,62,2267,432,1451,9,795,12,0.4444,0.0615,0.8101,0.7497,0.1667,0.0282
cnn,63,1992,114,1845,1,138,8,1.0,0.0204,0.4783,0.8049,0.0,0.0
cnn,64,1911,50,1885,0,23,3,,0.0,0.4348,0.3125,0.0,
cnn,65,2662,378,2271,5,382,4,0.2,0.05,0.9319,0.9105,1.0,0.0123
cnn,66,2338,334,2137,1,200,0,0.0,0.0,0.985,0.749,,0.0
cnn,67,2973,434,2436,5,531,1,0.0,0.0,0.9962,0.8997,0.0,0.0
cnn,68,2642,1002,2479,2,161,0,0.0,0.0,0.9255,0.1396,,0.0
cnn,69,2167,13,1998,1,167,1,1.0,0.25,0.994,0.954,0.0,0.0
cnn,70,1664,240,1538,126,0,0,1.0,1.0,,0.0,,0.0
cnn,71,1668,124,1633,35,0,0,0.9429,0.3367,,0.0,,0.0
cnn,72,2268,622,1874,8,386,0,0.25,0.0351,0.8601,0.3825,,0.0
cnn,73,1990,1768,1888,32,70,0,0.0312,0.1111,0.8857,0.034,,0.0
cnn,74,2403,150,2081,0,274,48,,0.0,0.635,0.9886,0.0,
cnn,75,2101,550,1482,0,612,7,,0.0,0.1127,1.0,0.0,
